payer_int,beneficiary_int,amount
8,64,0.0564999999999999
8,65,0.29375
8,66,66.5
8,67,0.0645
8,68,3.75
8,69,2.5
8,70,1.5
8,71,5.0
8,72,1.036
8,73,27.0
8,74,1630.25
8,75,766.75
8,76,318.0
8,77,192.75
8,78,217.0
8,79,18.0
8,80,188.5
8,81,1484.75
8,82,11.5
8,83,31.75
8,84,11204.5
8,85,1.5
8,86,35.5
8,87,2.072
8,88,3.5
8,89,3.60625
8,90,3969.75
8,91,141.5
8,92,4.0
8,93,16.5
8,94,1.048
8,95,20.0
8,96,0.26425
8,97,106.75
8,98,2.072
8,99,1.5
8,100,4.52
8,101,2.75
8,102,18.75
8,103,1.0
8,104,3.0
8,105,4.0
8,106,211.0
8,107,2.0
8,108,2.0
8,109,5.0
8,110,11.0
8,111,1.0
8,112,28.0
8,113,1.0
8,114,36.5
8,115,2.5
8,116,1954.75
8,117,9.0
8,118,1.0
8,119,15.25
8,120,1.0
8,121,807.0
8,122,72.0
8,123,3.0
8,124,13.975750000000001
8,125,2993.0
8,126,84.0
8,127,184.25
8,128,5.75
8,129,30.0
8,130,575.0
8,131,698.0
8,132,26.75
8,133,3.0
8,134,58.75
8,135,54.52
8,136,64.75
8,137,90.0
8,138,1.048
8,139,821.75
8,140,52.5
8,141,2.0
8,142,2765.75
8,143,17.0
8,144,0.43800000000000006
8,145,3.25
8,147,11.009
8,149,2.0
8,150,6.5
8,151,13.25
8,152,503.75
8,153,1.0
8,154,1.67825
8,155,6.25
8,156,1.021
8,157,3.107
8,158,1381.5
8,160,4.276
8,161,6.523000000000001
8,162,10.5
8,163,3.25
8,164,164.5
8,165,2.1325000000000003
8,166,2639.8625
8,167,28.5
8,168,4.75
8,169,22.5
8,170,5.25
8,171,9704.25
8,172,12.7625
8,173,1.56275
8,174,3.5
8,175,759.0
8,176,19.53
8,177,60.75
8,178,1.0
8,179,590.5
8,180,1.0
8,181,8.5
9,0,1.0
9,1,1.0
9,2,6.0
9,4,61.75
9,5,42.25
9,6,3.0
9,7,0.06424999999999995
9,8,166.0
9,10,12.75
9,11,2.0
9,12,1444.74
9,13,5.0
9,14,1.021
9,15,13.0
9,16,115.5
9,17,2.75
9,18,1.0
9,19,109.25
9,20,35.0
9,21,1.0
9,22,2.25
9,23,201.0
9,24,1.0
9,25,1.0
9,26,4.0
9,27,13.0
9,28,0.115
9,29,414.0
9,30,3336.25
9,31,32.0
9,32,868.75
9,33,2.5
9,34,1.25
9,35,1.0
9,36,15.75
9,38,1.0
9,39,5.75
9,40,3.25
9,41,17.5
9,42,1741.75
9,43,25602.75
9,44,2.0
9,45,0.0605
9,46,461.0
9,47,3.25
9,48,120.25
9,49,7.75
9,50,67.75
9,51,0.641
9,52,1258.75
9,53,23.25
9,54,2.0
9,55,496.0
9,56,0.23775000000000002
9,57,2804.75
9,58,4.5
9,59,2144.0
9,60,9.5
9,61,12.0
9,62,9.0
9,63,1.0
9,64,0.2405
9,65,0.12075
9,66,187.5
9,67,0.013
9,68,5.0
9,69,0.302
9,70,4.0
9,71,422.25
9,72,1.0
9,73,2876.25
9,74,123.75
9,75,105.75
9,76,293.0
9,77,94.5
9,78,150.5
9,79,11.0
9,80,112.5
9,81,5391.5
9,82,1.5
9,83,25.0
9,84,985.0
9,85,179.5
9,86,4.0
9,87,1.0
9,88,4.5
9,89,0.0295
9,90,253.25
9,91,29.0
9,92,1.021
9,93,12.25
9,94,1.0
9,95,98.75
9,96,0.0145
9,97,10.5
9,99,28.75
9,100,89.58
9,101,22.5
9,102,26.5
9,103,9.0
9,104,1.5
9,105,1.0
9,106,104.75
9,107,27.25
9,108,3.5
9,109,11.75
9,110,1.75
9,111,1.0
9,112,1.0
9,113,2.0
9,114,4.25
9,115,1.0
9,116,102.5
9,117,1.5
9,118,1.0
9,119,125.25
9,120,2.25
9,121,2346.75
9,122,184.75
9,123,3.5
9,125,29.25
9,126,12.5
9,127,22.25
9,128,3.5
9,129,14.5
9,130,44.25
9,131,1.0
9,132,826.25
9,133,21.0
9,134,228.75
9,135,2.0
9,136,8.0
9,137,716.25
9,138,1.0
9,139,119.0
9,140,9.5
9,141,7.0
9,142,185.0
9,143,2.072
9,144,4.0
9,145,3.25
9,147,2.0
9,148,0.08549999999999999
9,149,1.048
9,150,803.0
9,151,887.0
9,152,1435.25
9,153,0.2675
9,154,0.107
9,155,40.25
9,156,2.0
9,157,2.0
9,158,89.75
9,159,3.0
9,160,8.75
9,162,6.0
9,163,21.5
9,164,427.0
9,166,329.23
9,167,3.0
9,168,1.5
9,169,193.0
9,170,3.75
9,171,3047.75
9,172,23.5
9,173,0.0025
9,174,18.0
9,175,30.5
9,177,7.0
9,178,116.25
9,179,197.25
9,180,1.5
9,181,4.0
10,0,1.0
10,1,1.021
10,2,2.0
10,4,13.25
10,5,7.0
10,8,1.5
10,9,12.75
10,12,3.25
10,15,1.021
10,16,5.5
10,20,5.5
10,22,0.011
10,23,1.75
10,29,2.0
10,30,32.0
10,31,5.105
10,32,8.5
10,36,1.0
10,39,1.036
10,40,1.021
10,41,3.063
10,42,7.0
10,43,95.0
10,46,4.5
10,49,1.021
10,50,1.5314999999999999
10,52,4.25
10,53,1.0
10,55,3.5
10,57,106.25
10,59,36.75
10,60,40.25
10,62,22.0
10,66,9.25
10,71,3.0
10,73,3.0
10,74,6.0
10,75,5.75
10,76,2.5
10,77,31.25
10,78,1.036
10,79,32.0
10,80,69.75
10,81,314.75
10,84,6.5
10,85,32.5
10,87,2.75
10,89,0.139
10,90,3.0
10,93,2.042
10,95,5.105
10,97,4.0
10,99,1.5
10,100,1.02
10,101,4.0
10,102,0.321
10,103,2.0
10,107,3.145
10,109,25.0
10,111,1.0
10,116,1.25
10,121,16.0
10,122,3.25
10,125,6.0
10,126,1.021
10,127,1.5
10,128,1.0
10,132,14.0
10,133,0.1605
10,134,4.0
10,137,154.5
10,139,1.0
10,141,6.0
10,142,13.0
10,144,2.9395
10,150,1.0
10,151,2.0
10,152,13.0
10,155,1.0
10,158,1.5
10,159,41.5
10,160,23.0
10,163,4.0
10,164,140.0
10,166,0.675
10,169,31.25
10,171,89.0
10,172,1.0
10,175,1.0
10,178,8.0
10,181,1.0
11,4,1.048
11,8,1.036
11,9,2.0
11,12,10.56
11,20,3.063
11,23,1.048
11,29,1.0
11,30,3.0
11,32,3.0
11,42,1.021
11,43,7.0
11,46,1.5
11,52,1.0
11,55,1.0
11,57,7.5
11,59,2.5
11,73,1.0
11,74,1.0
11,75,4.0
11,76,1.036
11,81,4.0
11,84,1.5
11,86,7.0
11,90,1.0
11,114,1.021
11,121,4.5
11,122,1.021
11,127,3.0
11,129,1.048
11,132,1.0
11,138,1.5
11,139,16.0
11,152,1.021
11,158,1.0
11,164,1.036
11,166,0.03
11,169,1.021
11,171,4.5
11,179,6.0
11,180,5.0
11,181,1.0
12,0,13.059999999999999
12,1,340.52
12,2,4.73
12,4,454.7
12,5,285.38
12,6,79.94
12,7,0.3155
12,8,589.95
12,9,1444.74
12,10,3.25
12,11,10.56
12,13,24.21
12,14,6.74
12,15,119.92
12,16,228.79
12,17,28.740000000000002
12,18,16.73
12,19,15.18
12,20,39.9
12,21,0.994
12,22,14.48
12,23,1165.54
12,24,1.99
12,25,1.0
12,26,1.0
12,27,3.36
12,28,83.02000000000001
12,29,988.86
12,30,2083.51
12,31,187.43
12,32,3313.83
12,33,132.37
12,34,70.28999999999999
12,35,34.95
12,36,157.43
12,37,3.0
12,38,7.5
12,39,102.66
12,40,21.57
12,41,46.34
12,42,670.45
12,43,27808.34
12,44,9.0
12,45,0.4115
12,46,1155.1399999999999
12,47,45.55
12,48,520.71
12,49,60.5
12,50,216.32999999999998
12,51,3.592
12,52,4435.12
12,53,65.78
12,54,29.81
12,55,1004.07
12,56,1.266
12,57,27224.690000000002
12,58,33.15
12,59,15825.119999999999
12,60,3.4699999999999998
12,61,54.93
12,62,97.41
12,63,15.53
12,64,3.0
12,65,3.0
12,66,606.8
12,67,0.23
12,68,35.0
12,69,12.02
12,70,34.370000000000005
12,71,85.28
12,72,5.67
12,73,884.0899999999999
12,74,570.2
12,75,2439.75
12,76,2452.49
12,77,179.9
12,78,55.5
12,79,39.93
12,80,2755.4
12,81,8236.1
12,82,8.74
12,83,40.97
12,84,3562.05
12,85,39.36
12,86,40.69
12,87,3.74
12,88,8.74
12,89,0.139
12,90,829.54
12,91,65.63
12,92,7.6
12,93,94.59
12,94,64.03
12,95,60.54
12,96,1.384
12,97,174.95999999999998
12,98,18.24
12,99,96.9
12,100,1198.8799999999999
12,101,43.19
12,102,260.36
12,103,5.47
12,104,18.7
12,105,0.96
12,106,419.42
12,107,37.519999999999996
12,108,20.17
12,109,52.58
12,110,10.620000000000001
12,111,2.46
12,112,7.32
12,113,49.28
12,114,42.59
12,115,3.95
12,116,551.1800000000001
12,117,27.46
12,118,18.5
12,119,116.06
12,120,8.91
12,121,25021.09
12,122,1193.87
12,123,6.67
12,125,168.92000000000002
12,126,20.48
12,127,150.82
12,128,55.04
12,129,73.24000000000001
12,130,124.07
12,131,10.06
12,132,1154.81
12,133,8.2
12,134,1354.02
12,135,2.23
12,136,22.93
12,137,879.7
12,138,10.71
12,139,311.28
12,140,13.2
12,141,63.62
12,142,584.05
12,143,0.98
12,144,11.36
12,145,12.64
12,147,1.0
12,148,0.776
12,149,4.48
12,150,203.54000000000002
12,151,126.52000000000001
12,152,3226.67
12,153,2.42
12,154,0.99925
12,155,80.02
12,156,3.7199999999999998
12,157,13.92
12,158,792.4100000000001
12,159,3.45
12,160,3.92
12,161,0.021
12,162,5.96
12,163,345.77
12,164,1216.42
12,166,673.21
12,167,50.4
12,168,19.25
12,169,136.54
12,170,17.1
12,171,11930.92
12,172,24.619999999999997
12,173,1.8545
12,174,129.21
12,175,224.06
12,176,0.0854999999999999
12,177,17.09
12,178,30.0
12,179,789.1
12,180,11.08
12,181,18.78
13,4,1.0
13,5,1.0
13,8,1.036
13,9,5.0
13,12,24.21
13,14,1.0
13,15,2.0
13,16,1.036
13,17,1.0
13,18,1.0
13,20,0.011
13,23,16.0
13,28,0.0825
13,29,2.5
13,30,16.5
13,32,206.25
13,33,45.0
13,34,2.5
13,35,0.614
13,36,4.0
13,41,4.0
13,42,1.5
13,43,29.75
13,46,2.5
13,47,2.042
13,48,1.0
13,50,4.0
13,52,15.75
13,55,1.0
13,57,114.5
13,58,2.072
13,59,35.5
13,61,25.0
13,62,0.0335
13,63,0.004
13,66,1.048
13,71,4.084
13,73,0.091
13,74,14.25
13,75,28.0
13,76,3.25
13,77,1.0
13,80,3.107
13,81,41.0
13,82,0.0289999999999999
13,84,12.5
13,86,0.17275000000000001
13,90,14.5
13,91,1.0
13,93,0.11699999999999999
13,95,6.2145
13,97,1.036
13,99,12.252
13,100,2.042
13,101,12.252
13,102,5.75
13,104,0.0205
13,108,1.0
13,109,3.0
13,113,6.772
13,114,1.0
13,115,0.0125
13,116,1.5
13,118,6.0
13,119,5.5
13,120,0.084
13,121,26.25
13,122,1.021
13,127,9.5
13,129,0.001
13,130,1.0
13,132,1.0
13,133,2.0
13,134,2.5
13,137,1.0
13,139,3.0
13,141,3.5
13,142,9.5
13,145,1.036
13,150,1.036
13,151,0.128
13,152,2.5
13,153,1.0
13,156,1.0
13,157,11.0
13,158,35.75
13,163,1.0
13,164,4.25
13,166,7.97
13,169,1.036
13,171,18.75
13,175,2.042
13,178,0.107
13,179,9.0
13,180,0.012
13,181,0.0715
14,5,4.194
14,8,1.83475
14,9,1.021
14,12,6.74
14,13,1.0
14,15,6.5
14,16,4.194
14,17,1.0
14,20,1.0
14,23,1.5
14,28,0.00175
14,29,1.5
14,30,1.0
14,32,6.0
14,33,135.5
14,34,5.242
14,36,14.5
14,42,1.0
14,43,7.75
14,46,3.25
14,48,0.003
14,50,1.0
14,52,9.25
14,53,0.032
14,55,1.036
14,57,75.75
14,59,5.25
14,61,8.0
14,66,1.036
14,73,0.016
14,74,2.25
14,75,2.75
14,76,2.0
14,79,2.0
14,81,18.25
14,84,6.75
14,85,1.036
14,86,0.1175
14,90,1.0
14,93,1.021
14,95,14.5
14,97,1.048
14,100,1.0
14,102,2.0965
14,104,0.0209999999999999
14,108,2.5
14,114,4.0
14,116,2.0
14,118,3.25
14,119,17.5
14,121,4.25
14,122,1.048
14,126,0.002
14,127,12.581
14,129,1.021
14,130,1.021
14,132,1.0
14,134,5.25
14,137,6.5
14,141,3.0
14,142,11.5
14,150,1.036
14,151,1.036
14,152,1.036
14,157,3.107
14,158,3.5
14,162,1.048
14,163,2.0
14,164,1.5
14,166,0.9425
14,169,1.021
14,171,9.75
14,174,92.959
14,175,1.0
14,179,5.0
14,180,0.021
14,181,0.00275
15,0,3.25
15,1,0.02
15,2,1.021
15,4,106.0
15,5,52.5
15,7,0.34475000000000006
15,8,105.75
15,9,13.0
15,10,1.021
15,12,119.92
15,13,2.0
15,14,6.5
15,16,1.5
15,17,3.25
15,18,1.5
15,19,0.032
15,20,7.0
15,21,1.0
15,22,1.048
15,23,25.5
15,24,0.032
15,25,1.0
15,26,3.0
15,28,1.5
15,29,90.75
15,30,56.25
15,31,2.0
15,32,676.25
15,33,4.5
15,34,2.0
15,36,0.043
15,39,0.075
15,40,1.036
15,41,1.0
15,42,6.25
15,43,418.25
15,44,0.091
15,45,0.1129999999999999
15,46,48.0
15,47,0.032
15,48,1.0
15,49,0.1015
15,50,7.0
15,52,55.0
15,53,1.0
15,54,1.0
15,55,14.75
15,56,0.0205
15,57,205.25
15,58,1.021
15,59,341.5
15,61,2.25
15,62,0.0235
15,63,0.0175
15,66,3.75
15,67,0.0245
15,68,1.036
15,69,0.043
15,70,1.048
15,72,1.0
15,73,4.0
15,74,112.25
15,75,477.25
15,76,8.0
15,77,28.5
15,78,5.105
15,79,1.5
15,80,0.855
15,81,187.25
15,82,0.0875
15,83,1.0
15,84,370.25
15,85,4.0
15,86,2.0
15,87,1.021
15,88,1.0
15,90,252.0
15,91,15.75
15,92,1.048
15,93,2.5
15,94,3.0
15,95,2.072
15,97,6.0
15,99,1.0
15,100,1.0
15,101,1.0
15,102,1.0
15,103,0.096
15,104,1.048
15,105,1.0
15,106,6.5
15,108,1.048
15,109,3.063
15,110,11.0
15,111,0.203
15,112,1.021
15,114,0.089
15,115,0.0215
15,116,76.25
15,117,6.291
15,118,0.0579999999999999
15,119,1.75
15,120,0.02
15,121,165.5
15,122,21.0
15,123,2.5
15,125,4.75
15,126,1.0
15,127,76.5
15,128,1.036
15,129,1.25
15,130,6.0
15,131,1.5
15,132,8.25
15,133,34.25
15,134,4.0
15,135,1.554
15,136,2.75
15,137,37.5
15,139,115.75
15,140,6.25
15,141,0.0545
15,142,413.25
15,143,1.0
15,144,0.0545
15,145,1.176
15,147,0.014
15,150,1.0
15,151,2.0
15,152,54.25
15,153,14.0
15,155,5.75
15,156,0.0165
15,157,2.0
15,158,121.75
15,159,1.021
15,160,7.0
15,161,0.005
15,162,0.037
15,163,11.0
15,164,25.0
15,165,0.021
15,166,240.35999999999999
15,167,2.5
15,168,1.021
15,169,3.5
15,170,5.5
15,171,1190.5
15,172,14.5
15,174,1.0
15,175,9.5
15,176,0.211
15,177,2.0
15,178,4.5
15,179,5.0
15,180,1.0
15,181,3.75
16,0,8.5
16,1,0.22725
16,2,25.0
16,4,5.75
16,5,3.75
16,6,3.75
16,7,0.11749999999999995
16,8,3.75
16,9,115.5
16,10,5.5
16,12,228.79
16,13,1.036
16,14,4.194
16,15,1.5
16,19,9.5
16,20,9.0
